Index,Name,Date,Longitude,Latitude,Navy,Description,Cause
39,SMS Mainz,28/08/1914,54.16667,8.066667, Kaiserliche Marine ," Mainz World War I: Battle of Heligoland Bight : The Kolberg -class light cruiser was shelled and sunk in the Heligoland Bight by HMS Lion , HMS Queen Mary and HMS Princess Royal (all Royal Navy ) with the loss of 89 of her 437 crew.",shelled
40,SMS V187,28/08/1914,54.16667,8.066667, Kaiserliche Marine , World War I: Battle of Heligoland Bight : The V180 -class destroyer was shelled and sunk in the Heligoland Bight by Royal Navy warships.,shelled
41,Strathroy,31/08/1914,-3.78879625089245,-34.7658376840213, United Kingdom ," World War I: The cargo ship was scuttled in the Atlantic Ocean 100 nautical miles (190 km) north north east of Cape São Roque , Brazil by SMS Karlsruhe ( Kaiserliche Marine ).",scuttled
42,Ajax,02/09/1914,53.546262,0.375703, United Kingdom , World War I : The trawler struck a mine and sank in the North Sea off the mouth of the River Humber with the loss of nine of her crew.,mine
43,HMT Eyrie,02/09/1914,NONE,NONE, Royal Navy , The naval trawler was lost on this date.,unspecified
44,Fittonia,02/09/1914,53.608231,0.377076, United Kingdom , World War I: The trawler struck a mine and sank in the North Sea off the mouth of the River Humber with the loss of seven of her crew.,mine
45,HMT Lindsell,03/09/1914,56,3, Royal Navy , World War I : The naval trawler struck a mine and sank in the North Sea with the loss of five of her crew. Survivors were rescued by HMS Speedy ( Royal Navy ).,mine
46,Maple Branch,03/09/1914,-2.53992603107947,-32.2263120749756, United Kingdom , The cargo ship was scuttled in the Atlantic Ocean 250 nautical miles (460 km) south west of the St. Paul Rocks by SMS Karlsruhe ( Kaiserliche Marine ).,scuttled
47,HMS Speedy,03/09/1914,56,3, Royal Navy , World War I: The Alarm -class torpedo gunboat struck a mine and sank in the North Sea with the loss of one of her 91 crew.,mine
48,Indian Prince,04/09/1914,-7.35366273963265,-31.2064673442591, United Kingdom ," World War I : The cargo ship was scuttled in the Atlantic Ocean 240 nautical miles (440 km) east by north of Pernambuco , Brazil by SMS Kronprinz Wilhelm ( Kaiserliche Marine ).",scuttled
49,HMS Pathfinder,05/09/1914,56.37944,-2.768889, Royal Navy , HMS Pathfinder . World War I : The Pathfinder -class cruiser was torpedoed and sunk in the Firth of Forth by SM U-21 ( Kaiserliche Marine ) with the loss of 256 of the 270 people on board.,submarine
50,Runo,05/09/1914,56,3, United Kingdom , World War I: The passenger ship struck a mine and sank in the North Sea with the loss of 29 of the 300-plus people on board.,mine
51,Argonaut,06/09/1914,56,3, United Kingdom , World War I : The trawler was shelled and sunk in the North Sea by two cruisers and four destroyers (all Kaiserliche Marine ). Her crew were taken as prisoners of war.,shelled
52,Chameleon,06/09/1914,56,3, United Kingdom , World War I: The trawler was shelled and sunk in the North Sea by two cruisers and four destroyers (all Kaiserliche Marine ). Her crew were taken as prisoners of war.,shelled
53,Imperialist,06/09/1914,55.018509,-1.362863, United Kingdom , World War I: The trawler struck a mine and sank in the North Sea off the mouth of the River Tyne with the loss of two of her crew. Survivors were rescued by the trawler Rhodesian ( United Kingdom ).,mine
54,Lobelia,06/09/1914,56,3, United Kingdom , World War I: The trawler was shelled and sunk in the North Sea by two cruisers and four destroyers (all Kaiserliche Marine ). Her crew were taken as prisoners of war.,shelled
55,Harrier,06/09/1914,56,3, United Kingdom , World War I: The trawler was shelled and sunk in the North Sea by two cruisers and four destroyers (all Kaiserliche Marine ). Her crew were taken as prisoners of war.,shelled
56,Pegasus,06/09/1914,56,3, United Kingdom , World War I: The trawler was shelled and sunk in the North Sea by two cruisers and four destroyers (all Kaiserliche Marine ). Her crew were taken as prisoners of war.,shelled
57,Pollux,06/09/1914,56,3, United Kingdom , World War I: The trawler was shelled and sunk in the North Sea by two cruisers and four destroyers (all Kaiserliche Marine ). Her crew were taken as prisoners of war.,shelled
58,Rideo,06/09/1914,56,3, United Kingdom , World War I: The trawler was shelled and sunk in the North Sea by two cruisers and four destroyers (all Kaiserliche Marine ). Her crew were taken as prisoners of war.,shelled
59,Rhine,06/09/1914,56,3, United Kingdom , World War I: The trawler was shelled and sunk in the North Sea by two cruisers and four destroyers (all Kaiserliche Marine ). Her crew were taken as prisoners of war.,shelled
60,Seti,06/09/1914,56,3, United Kingdom , World War I: The trawler was shelled and sunk in the North Sea by two cruisers and four destroyers (all Kaiserliche Marine ). Her crew were taken as prisoners of war.,shelled
61,Valiant,06/09/1914,56,3, United Kingdom , World War I: The trawler was shelled and sunk in the North Sea by two cruisers and four destroyers (all Kaiserliche Marine ). Her crew were taken as prisoners of war.,shelled
62,Revigo,07/09/1914,56,3, United Kingdom , World War I : The trawler struck a mine and sank in the North Sea . Her crew were rescued by the trawler Andromeda ( United Kingdom ).,mine
63,Kamerun,08/09/1914,4.036928,9.681720, Germany ," World War I : The cargo ship was scuttled at Duala , Kamerun . She was subsequently refloated, repaired and entered British service as Cameronia.",scuttled
64,HMS Oceanic,08/09/1914,60.30222,-2.279722, Royal Navy ," The armed merchant cruiser ran aground off Foula , Shetland Islands . All on board were rescued by the fishing trawler Glenogil ( United Kingdom ) and transferred to HMS Alsatian and HMS Forward (both Royal Navy ). Oceanic was wrecked in a storm on 29 September.",unspecified
65,Elsinore,11/09/1914,18.1529085815054,-109.436961357942, United Kingdom ," The tanker was shelled and sunk in the Pacific Ocean 260 nautical miles (480 km) south west by west of Cabo Corrientes , Mexico by SMS Leipzig ( Kaiserliche Marine ).",shelled
66,Lovat,11/09/1914,13.2683300077533,84.8529844, United Kingdom ," World War I : The cargo ship was captured and scuttled in the Indian Ocean 260 nautical miles (480 km) east of Madras , India by SMS Emden ( Kaiserliche Marine ). Her crew were taken as prisoners of war.",scuttled
67,Killin,12/09/1914,18.2221639572557,84.6934335124977, United Kingdom ," The cargo ship was captured in the Indian Ocean 410 nautical miles (760 km) north east by north of Madras , India by SMS Emden ( Kaiserliche Marine ). She was scuttled the next day. Her crew were taken as prisoners of war.",scuttled
68,Diplomat,13/09/1914,18.9318022083615,86.1968021981962, United Kingdom ," World War I : The cargo ship was captured and scuttled in the Indian Ocean 480 nautical miles (890 km) north east of Madras , India by SMS Emden ( Kaiserliche Marine ). Her crew were taken as prisoners of war.",scuttled
69,Hela,13/09/1914,54.43972,7.911111, Kaiserliche Marine , World War I: The Gazelle -class cruiser was torpedoed and sunk in the North Sea southwest of Heligoland by HMS E9 ( Royal Navy ) with the loss of two of her 178 crew.,torpedo
70,HMAS AE1,14/09/1914,3.861480,160.133164, Royal Australian Navy , The E -class submarine was lost in the Pacific Ocean with the loss of all 35 crew.,unspecified
71,Cap Trafalgar,14/09/1914,-20.511057,-29.329502, Kaiserliche Marine ," SMS Cap Trafalgar and HMS Carmania World War I : Battle of Trindade : The auxiliary cruiser was sunk at Trinidade, Brazil in a battle with Carmania ( Royal Navy ) with the loss of 51 of her 330 crew.",unspecified
72,Clan Matheson,14/09/1914,20.9429819338693,87.6123014739818, United Kingdom , World War I: The cargo ship was scuttled in the Bay of Bengal 60 nautical miles (110 km) south west by south of the mouth of the Hoogli River by SMS Emden ( Kaiserliche Marine ). Her crew were rescued by Dovre (flag unknown).,scuttled
73,Highland Hope,14/09/1914,-1.31026377982279,-31.5624881598347, United Kingdom ," The cargo ship was scuttled in the Atlantic Ocean 190 nautical miles (350 km) south west of the St Paul Rocks , Brazil by SMS Emden ( Kaiserliche Marine ).",scuttled
74,Indrani,17/09/1914,-3.33626479792167,-35.9072759010212, United Kingdom ," World War I : The cargo ship was scuttled in the Atlantic Ocean 145 nautical miles (269 km) north by west of Cabo São Roque , Brazil by SMS Karlsruhe ( Kaiserliche Marine ).",scuttled
75,HMS Invincible,17/09/1914,50.50222,-2.451111, Royal Navy , The Audacious -class battleship sank in the English Channel off Portland Bill in a storm with the loss of 21 of her 64 crew.,unspecified
76,HMS Pegasus,20/09/1914,-6.15,39.18333, Royal Navy , World War I : The Pelorus -class cruiser was shelled and sunk by SMS Königsberg ( Kaiserliche Marine ) in Zanzibar harbour with the loss of 38 of her 224 crew. The wreck was scrapped in 1955.,shelled
77,HMS Yarmouth II,20/09/1914,51.386608,1.334668, Royal Navy ," The ship was driven ashore between Margate and Westgate-on-Sea , Kent.",ran aground
78,Cornish City,21/09/1914,-1.97206278182727,-32.2242871558999, United Kingdom ," World War I: The cargo ship was scuttled in the Atlantic Ocean 245 nautical miles (454 km) south west of the St Paul Rocks , Brazil by SMS Karlsruhe ( Kaiserliche Marine ).",scuttled
79,HMS Aboukir,22/09/1914,52.47361,4.536389, Royal Navy , HMS Aboukir and HMS Hogue World War I : Action of 22 September 1914 : The Cressy -class cruiser was torpedoed and sunk in the North Sea off the Dutch coast by SM U-9 ( Kaiserliche Marine ) with the loss of 527 lives.,submarine
80,HMS Cressy,22/09/1914,52.47361,4.536389, Royal Navy , World War I: Action of 22 September 1914 : The Cressy -class cruiser was torpedoed and sunk in the North Sea off the Dutch coast by SM U-9 ( Kaiserliche Marine.,submarine
81,HMS Hogue,22/09/1914,52.47361,4.536389, Royal Navy , HMS Cressy World War I: Action of 22 September 1914 : The Cressy -class cruiser was torpedoed and sunk in the North Sea off the Dutch coast by SM U-9 ( Kaiserliche Marine.,submarine
82,Kilmarnock,22/09/1914,53.6575000009207,0.75379226, United Kingdom ," World War I: The trawler struck a mine and sank in the North Sea 31 nautical miles (57 km) east of Spurn Point , Yorkshire with the loss of six of her cew.",mine
83,Rothenfield,22/09/1914,59.13945,-3.3, United Kingdom ," World War I: The cargo ship was sunk as a blockship in Scapa Flow , Orkney Islands.",unspecified
84,Rio Iguassu,22/09/1914,-0.517978718974919,-31.482794186936, United Kingdom ," World War I: The cargo ship was scuttled in the Atlantic Ocean 155 nautical miles (287 km) south west by west of the St Paul Rocks , Brazil by SMS Karlsruhe ( Kaiserliche Marine ).",scuttled
85,Urmston Grange,22/09/1914,59.13945,-3.3, United Kingdom , World War I: The cargo ship was sunk as a blockship in Scapa Flow.,unspecified
86,Trabboch,14/09/1914,20.793329376391,87.5123068328876, United Kingdom , The cargo ship was shelled and sunk in the Indian Ocean 70 nautical miles (130 km) south west by south of the mouth of the Hoogli River by SMS Emden ( Kaiserliche Marine ).,shelled
87,Zélée,22/09/1914,-17,-150, French Navy ," World War I: The gunboat was shelled and sunk at Papeete , Tahiti by SMS Gneisenau and SMS Scharnhorst (both Kaiserliche Marine ).",shelled
88,Rebono,23/09/1914,53.7382609325609,0.646845922351613, United Kingdom , World War I : The trawler struck a mine and sank in the North Sea 25 nautical miles (46 km) east by north of the Spurn Lightship ( United Kingdom ) with the loss of a crew member.,mine
89,Bankfields,25/09/1914,47.92694,-61.43611, United Kingdom , World War I : The cargo ship was shelled and sunk in the Gulf of Guayaquil by SMS Leipzig ( Kaiserliche Marine ).,shelled
90,King Lud,25/09/1914,5.72671147179067,80.0629717350207, United Kingdom ," World War I: The cargo ship was scuttled in the Indian Ocean 25 nautical miles (46 km) south south west of Point de Galle , Ceylon by SMS Emden ( Kaiserliche Marine ).",scuttled
91,Tymeric,25/09/1914,7.36966653167534,79.285538392769, United Kingdom ," World War I: The cargo ship was scuttled in the Indian Ocean 50 nautical miles (93 km) west by north of Colombo , Ceylon by SMS Emden ( Kaiserliche Marine ).",scuttled
92,Foyle,27/09/1914,8.18956553481923,75.1636276338781, United Kingdom ," World War I : The cargo ship was scuttled in the Indian Ocean 300 nautical miles (560 km) west by north of Colombo , Ceylon by SMS Emden ( Kaiserliche Marine ).",scuttled
93,Ribera,27/09/1914,7.89110122960625,76.6641090664508, United Kingdom , World War I: The cargo ship was shelled and sunk in the Indian Ocean 210 nautical miles (390 km) west by north of Colombo by SMS Emden ( Kaiserliche Marine ).,shelled
94,SMS Cormoran,28/09/1914,36.13334,120.2333, Kaiserliche Marine ," World War I : The Bussard -class cruiser was scuttled at Tsingtao , China.",scuttled
95,SMS T50,28/09/1914,55.98944,17.76028, Kaiserliche Marine , The S7 -class torpedo boat was wrecked in the Baltic Sea.,unspecified
96,SMS Taku,28/09/1914,36.13334,120.2333, Kaiserliche Marine , World War I: The Taku -class torpedo boat was scuttled at Tsingtao.,scuttled
97,Dawdon,03/10/1914,51.5652749087843,2.9006080702251, United Kingdom , World War I : The cargo ship struck a mine and sank in the North Sea 10 nautical miles (19 km) north west by west of the Wandelaar Lightship ( Belgium ) with the loss of ten of her crew.,mine
98,Ardmount,05/10/1914,51.245409,2.422112, United Kingdom , World War I : The cargo ship struck a mine and sank in the North Sea 3 nautical miles (5.6 km) east by south of the Wandelaar Lightship ( Belgium ).,mine
99,HMT Drumoak,05/10/1914,51.568229,3.068573, Royal Navy , World War I: The naval trawler struck a mine and sank in the North Sea off the West Hinder Lightship ( Netherlands ).,mine
100,HMT Princess Alice,05/10/1914,51.568229,3.068573, Royal Navy , World War I: The naval trawler struck a mine an dsank in the North Sea off the West Hinder Lightship ( Netherlands ).,mine
101,Niceto de Larrinaga,06/10/1914,-0.760064259335483,-29.6688577558952, United Kingdom ," World War I : The cargo ship was scuttled in the Atlantic Ocean 100 nautical miles (190 km) south by west of the St Paul Rocks , Brazil by SMS Karlsruhe ( Kaiserliche Marine ).",scuttled
102,SMS S13,06/10/1914,56,3, Kaiserliche Marine , The S13 -class destroyer suffered an onboard explosion and sank in the North Sea.,explosion/fire
103,SMS T116,06/10/1914,56,3, Kaiserliche Marine , World War I: The S90 -class torpedo boat was torpedoed and sunk in the North Sea by HMS E9 ( Royal Navy ) with the loss of eleven of her crew.,torpedo
104,La Correntina,07/10/1914,-33.9788732562845,-51.1182768002728, United Kingdom ," World War I : The cargo ship was scuttled in the Atlantic Ocean 320 nautical miles (590 km) east by north of Montevideo , Uruguay by SMS Kronprinz Wilhelm ( Kaiserliche Marine ).",scuttled
105,Lynrowan,07/10/1914,-0.496478204251875,-29.9207388053583, United Kingdom ," World War I: The cargo ship was scuttled in the Atlantic Ocean 90 nautical miles (170 km) south south west of the St Paul Rocks , Brazil by SMS Karlsruhe ( Kaiserliche Marine ).",scuttled
106,Pruth,09/10/1914,-0.583537032037011,-29.6337443079062, United Kingdom ," World War I : The cargo ship was scuttled in the Atlantic Ocean 90 nautical miles (170 km) south by west of the St Paul Rocks , Brazil by SMS Karlsruhe ( Kaiserliche Marine ).",scuttled
107,Condor,11/10/1914,-2.40148426084836,-34.0643376085175, United Kingdom ," World War I : The cargo ship was scuttled in the Atlantic Ocean 215 nautical miles (398 km) north north east of Cabo São Roque , Brazil by SMS Karlsruhe ( Kaiserliche Marine ).",scuttled
108,Pallada,11/10/1914,59.293699,23.390284, Imperial Russian Navy ," World War I: The Bayan -class cruiser was torpedoed and sunk in the Gulf of Finland off Osmussaar , Estonia by U-26 ( Kaiserliche Marine ) with the loss of all 597 crew.",torpedo
109,HMS Hawke,15/10/1914,56,3, Royal Navy , World War I : The Edgar -class cruiser was torpedoed and sunk in the North Sea by U-9 ( Kaiserliche Marine ) with the loss of 524 of her 594 crew.,torpedo
110,Benmohr,16/10/1914,9.30722622485845,72.4549957655473, United Kingdom ," World War I : The cargo ship was scuttled in the Indian Ocean 65 nautical miles (120 km) north west of Minicoy , India by SMS Emden ( Kaiserliche Marine ).",scuttled
111,Clan Grant,16/10/1914,8.54361198643167,70.6988116, United Kingdom , World War I: The cargo ship was shelled and sunk in the Indian Ocean 150 nautical miles (280 km) west of Minicoy by SMS Emden ( Kaiserliche Marine ).,shelled
112,Ponrabbel,16/10/1914,8.77905971933135,72.9831622777104, United Kingdom , World War I: The dredger was shelled and sunk in the Indian Ocean 20 nautical miles (37 km) north west of Minicoy by SMS Emden ( Kaiserliche Marine ).,shelled
113,SMS S90,17/10/1914,36.13334,120.2333, Kaiserliche Marine ," World War I : The S90 -class torpedo boat was scuttled at Tsingtao , China.",scuttled
114,SMS S115,17/10/1914,53.34945,4.951389, Kaiserliche Marine ," World War I: Battle off Texel : The torpedo boat was shelled and sunk in the North Sea off Texel , North Holland , Netherlands by HMS Lance , HMS Legion (1914) , HMS Lennox , HMS Loyal and HMS Undaunted (all Royal Navy ).",shelled
115,SMS S117,17/10/1914,53.34945,4.951389, Kaiserliche Marine ," World War I: Battle off Texel : The torpedo boat was shelled and sunk in the North Sea off Texel by HMS Lance , HMS Legion (1914) , HMS Lennox , HMS Loyal and HMS Undaunted (all Royal Navy ).",shelled
116,SMS S118,17/10/1914,53.34945,4.951389, Kaiserliche Marine ," World War I: Battle off Texel : The torpedo boat was shelled and sunk in the North Sea off Texel by HMS Lance , HMS Legion (1914) , HMS Lennox , HMS Loyal and HMS Undaunted (all Royal Navy ).",shelled
117,SMS S119,17/10/1914,53.34945,4.951389, Kaiserliche Marine ," World War I: Battle off Texel : The torpedo boat was shelled and sunk in the North Sea off Texel by HMS Lance , HMS Legion (1914) , HMS Lennox , HMS Loyal and HMS Undaunted (all Royal Navy ).",shelled
118,HMS E3,18/10/1914,53.65,6.6, Royal Navy ," World War I : The E -class submarine was torpedoed sunk and in the North Sea off Borkum , Denmark by SM U-27 ( Kaiserliche Marine ) with the loss of all 28 crew.",submarine
119,Troilus,18/10/1914,8.54361200500736,76.0083868, United Kingdom ," World War I: The cargo ship was shelled and sunk in the Indian Ocean 170 nautical miles (310 km) east of Minicoy , India by SMS Emden ( Kaiserliche Marine ).",shelled
120,Chilkana,19/10/1914,9.23238707408138,74.8814601189404, United Kingdom ," World War I : The cargo ship was shelled and sunk in the Indian Ocean 110 nautical miles (200 km) east north east of Minicoy , India by SMS Emden ( Kaiserliche Marine ).",shelled
121,Glitra,20/10/1914,59.3076792395934,5.15410748485918, United Kingdom ," World War I : The cargo ship was stopped in the North Sea 14 nautical miles (26 km) west south west of Skudenes , Rogaland , Norway by U-17 . She was searched under prize rules and her crew were allowed to take to the lifeboats before she was scuttled.",scuttled
122,Cormorant,21/10/1914,51.7291410001195,1.687556672, United Kingdom , World War I : The cargo ship struck a mine and sank in the Thames Estuary 4 nautical miles (7.4 km) east of the West Gabbard Lightship ( United Kingdom ).,mine
123,Buresk,26/10/1914,-12.146693,96.858570, Kaiserliche Marine , The collier was scuttled in the Pacific Ocean off the Cocos Islands.,scuttled
124,Markomannia,12/10/1914,-5.651945,102.3519, Kaiserliche Marine ," World War I : The cargo ship was captured and scuttled off Simaur Island, Sumatra by HMS Yarmouth ( Royal Navy ).",scuttled
125,Manchester Commerce,26/10/1914,55.63417,-7.449722, United Kingdom ," World War I : The cargo ship struck a mine and sank in the Atlantic Ocean 20 nautical miles (37 km) off Malin Head , County Donegal with the loss of fourteen of her 44 crew. Survivors were rescued by the trawler City of London ( United Kingdom ).",mine
126,Vandyck,26/10/1914,-1.33031637268509,-40.6330225269342, United Kingdom ," World War I: The cargo ship was sunk in the Atlantic Ocean 690 nautical miles (1,280 km) west by south of the St Paul Rocks , Brazil by SMS Karlsruhe ( Kaiserliche Marine ).",unspecified
127,HMS Audacious,27/10/1914,55.5,-8.309167, Royal Navy ," HMS Audacious World War I : The King George V -class battleship struck a mine and sank in the Atlantic Ocean 25 nautical miles (46 km) off Tory Island , County Donegal . All 900 crew were rescued by HMS Liverpool ( Royal Navy ), Olympic ( United Kingdom and Thornhill ( United Kingdom ).",mine
128,Maria Christiana,28/10/1914,53.1778354386627,4.14216055542083, Netherlands ," World War I : The lugger struck a mine and sank in the North Sea 40 nautical miles (74 km) north west of IJmuiden , North Holland with the loss of all ten crew.",mine
129,Mousquet,28/10/1914,2.872258,100.733459, French Navy ," World War I: Battle of Penang : The Arquebuse -class destroyer was shelled and sunk off the Straits Settlement by SMS Emden ( Kaiserliche Marine ), which rescued 33 survivors.",shelled
